genero,eleitores
feminino,1
feminino,1
feminino,1
feminino,1
feminino,2
feminino,1
masculino,4
feminino,3
feminino,1
feminino,6
masculino,6
masculino,2
feminino,3
masculino,1
masculino,3
masculino,1
feminino,1
feminino,2
feminino,1
feminino,2
feminino,5
feminino,1
feminino,1
feminino,4
masculino,4
feminino,1
masculino,1
feminino,2
masculino,1
feminino,1
feminino,1
feminino,1
feminino,2
feminino,1
feminino,1
feminino,4
feminino,11
masculino,1
feminino,1
masculino,8
feminino,1
feminino,1
masculino,1
feminino,1
feminino,2
masculino,2
feminino,1
masculino,1
feminino,1
feminino,1
masculino,2
masculino,1
masculino,4
feminino,5
masculino,2
feminino,5
masculino,2
feminino,1
feminino,3
masculino,2
masculino,1
masculino,1
masculino,4
feminino,2
feminino,1
masculino,2
masculino,1
masculino,2
feminino,2
feminino,1
masculino,3
masculino,1
feminino,3
feminino,1
feminino,1
masculino,1
feminino,1
feminino,1
masculino,9
feminino,5
feminino,5
feminino,1
feminino,1
masculino,3
masculino,2
feminino,1
feminino,10
feminino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,3
masculino,1
feminino,5
feminino,3
masculino,1
feminino,3
feminino,4
feminino,1
masculino,1
masculino,4
masculino,1
masculino,3
masculino,1
masculino,2
masculino,1
feminino,1
feminino,1
feminino,2
masculino,2
feminino,14
feminino,4
masculino,1
feminino,1
masculino,6
masculino,2
masculino,3
masculino,7
feminino,4
masculino,2
feminino,7
feminino,2
feminino,2
masculino,10
masculino,1
feminino,1
feminino,2
masculino,3
masculino,1
masculino,5
feminino,1
masculino,1
feminino,1
masculino,1
feminino,4
masculino,1
feminino,2
feminino,1
feminino,1
masculino,16
masculino,1
masculino,1
feminino,1
masculino,2
feminino,1
masculino,3
feminino,2
masculino,1
feminino,4
masculino,5
feminino,2
feminino,1
feminino,1
feminino,3
masculino,1
masculino,1
feminino,1
masculino,2
feminino,1
masculino,1
masculino,2
feminino,4
masculino,2
masculino,1
masculino,1
masculino,1
feminino,2
masculino,4
masculino,1
feminino,1
feminino,2
feminino,2
feminino,3
feminino,1
masculino,2
feminino,1
feminino,1
feminino,5
feminino,2
feminino,2
masculino,1
masculino,2
feminino,1
feminino,1
masculino,1
masculino,1
masculino,7
masculino,2
feminino,2
feminino,1
feminino,2
feminino,6
feminino,1
feminino,1
masculino,3
feminino,4
masculino,11
masculino,1
feminino,1
feminino,1
feminino,1
feminino,2
feminino,1
feminino,1
feminino,2
feminino,6
feminino,1
masculino,1
feminino,2
feminino,1
feminino,4
feminino,3
feminino,3
masculino,2
masculino,1
feminino,1
masculino,4
feminino,1
feminino,1
feminino,1
masculino,8
masculino,3
feminino,1
feminino,1
feminino,1
feminino,1
masculino,2
masculino,1
masculino,30
feminino,1
feminino,1
feminino,3
masculino,1
feminino,4
feminino,3
masculino,2
feminino,2
nao informado,1
masculino,3
masculino,4
feminino,1
masculino,1
feminino,1
masculino,8
masculino,1
masculino,4
feminino,2
feminino,1
feminino,1
feminino,1
masculino,3
feminino,1
feminino,1
masculino,1
masculino,3
feminino,8
feminino,2
masculino,3
masculino,1
masculino,2
feminino,2
feminino,1
masculino,1
feminino,3
masculino,1
masculino,12
feminino,1
masculino,1
feminino,17
masculino,1
feminino,1
feminino,1
masculino,6
feminino,1
masculino,1
masculino,1
feminino,3
masculino,1
feminino,2
feminino,4
feminino,1
masculino,6
masculino,1
masculino,1
feminino,1
feminino,2
feminino,1
feminino,1
feminino,3
masculino,1
feminino,1
masculino,1
masculino,2
masculino,1
feminino,1
feminino,1
feminino,1
masculino,3
feminino,1
feminino,4
masculino,1
masculino,4
feminino,1
feminino,1
masculino,1
masculino,3
masculino,5
feminino,3
masculino,1
feminino,1
feminino,2
feminino,2
masculino,4
feminino,1
masculino,1
masculino,5
masculino,1
masculino,1
masculino,1
masculino,2
masculino,1
feminino,4
masculino,1
feminino,1
feminino,3
feminino,1
feminino,4
feminino,2
feminino,1
masculino,1
feminino,2
masculino,3
feminino,2
feminino,2
masculino,1
feminino,1
feminino,1
masculino,4
feminino,4
feminino,2
feminino,1
feminino,1
masculino,1
feminino,3
masculino,1
masculino,1
feminino,1
feminino,1
masculino,1
feminino,1
feminino,1
feminino,7
masculino,7
feminino,2
masculino,1
feminino,4
feminino,1
feminino,3
masculino,2
feminino,1
feminino,1
feminino,2
masculino,1
feminino,1
feminino,2
masculino,2
masculino,1
masculino,1
masculino,3
feminino,3
feminino,3
feminino,1
feminino,3
feminino,1
feminino,1
feminino,1
feminino,2
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
masculino,4
masculino,1
feminino,1
feminino,1
feminino,1
masculino,1
masculino,1
masculino,1
feminino,2
feminino,4
masculino,1
masculino,3
masculino,1
feminino,2
masculino,1
feminino,1
feminino,2
masculino,1
feminino,8
feminino,1
feminino,1
masculino,2
feminino,1
masculino,1
masculino,5
feminino,1
feminino,2
masculino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,3
masculino,1
feminino,1
masculino,1
masculino,2
masculino,1
feminino,1
feminino,3
masculino,2
feminino,2
masculino,1
feminino,1
masculino,2
masculino,1
masculino,4
feminino,1
feminino,1
feminino,1
feminino,1
masculino,1
feminino,3
feminino,2
masculino,1
feminino,1
feminino,2
masculino,1
feminino,1
feminino,1
feminino,1
masculino,1
feminino,2
masculino,1
feminino,8
feminino,1
feminino,2
feminino,1
feminino,2
feminino,1
feminino,3
masculino,1
feminino,1
feminino,2
masculino,2
masculino,3
feminino,1
feminino,1
feminino,2
feminino,5
masculino,2
feminino,2
feminino,4
feminino,1
feminino,3
feminino,2
feminino,1
masculino,1
masculino,1
feminino,1
masculino,2
masculino,2
feminino,5
feminino,4
feminino,2
feminino,2
masculino,2
feminino,1
feminino,1
feminino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,5
feminino,1
feminino,2
masculino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,2
feminino,1
masculino,3
masculino,3
masculino,1
feminino,1
feminino,1
feminino,1
feminino,1
masculino,2
feminino,1
masculino,4
masculino,1
masculino,3
feminino,1
masculino,1
masculino,1
masculino,1
feminino,2
feminino,3
masculino,1
feminino,3
masculino,3
masculino,1
feminino,1
feminino,2
feminino,1
masculino,1
masculino,1
feminino,1
masculino,5
masculino,2
feminino,1
feminino,1
feminino,2
masculino,1
masculino,4
feminino,1
masculino,2
feminino,1
feminino,1
masculino,1
masculino,2
masculino,1
feminino,1
feminino,1
feminino,1
masculino,1
feminino,1
feminino,1
feminino,11
feminino,1
feminino,2
feminino,1
feminino,1
feminino,2
masculino,1
masculino,1
feminino,2
masculino,2
feminino,1
feminino,1
feminino,1
nao informado,1
feminino,1
masculino,1
masculino,1
feminino,1
feminino,4
masculino,2
masculino,1
feminino,1
feminino,1
feminino,2
masculino,18
masculino,1
feminino,1
feminino,1
feminino,3
feminino,1
feminino,1
feminino,1
feminino,1
feminino,2
masculino,3
feminino,1
feminino,1
masculino,4
masculino,3
masculino,1
feminino,1
feminino,3
feminino,1
feminino,3
masculino,1
masculino,1
feminino,1
masculino,3
masculino,1
masculino,3
masculino,2
feminino,1
masculino,1
feminino,2
feminino,2
feminino,1
feminino,2
feminino,1
feminino,7
feminino,1
feminino,2
feminino,2
feminino,1
feminino,1
feminino,2
masculino,1
feminino,1
masculino,2
masculino,1
masculino,1
feminino,1
masculino,1
feminino,1
feminino,1
masculino,1
masculino,1
feminino,6
masculino,1
feminino,15
masculino,1
masculino,1
masculino,1
masculino,13
masculino,1
masculino,4
masculino,2
feminino,3
feminino,1
masculino,1
masculino,1
masculino,6
feminino,1
masculino,1
feminino,1
masculino,1
