genero,eleitores
feminino,1
feminino,1
feminino,1
masculino,2
masculino,1
masculino,1
masculino,6
feminino,2
feminino,2
feminino,1
feminino,5
feminino,1
feminino,9
feminino,1
masculino,2
feminino,1
feminino,1
masculino,2
feminino,1
masculino,14
feminino,18
masculino,1
feminino,1
masculino,24
feminino,2
feminino,2
feminino,2
feminino,3
feminino,2
feminino,3
feminino,1
feminino,1
feminino,4
feminino,1
feminino,2
feminino,1
feminino,1
feminino,4
masculino,7
masculino,1
feminino,1
masculino,3
masculino,1
masculino,4
masculino,2
feminino,3
masculino,1
feminino,11
masculino,1
masculino,3
masculino,1
masculino,1
masculino,1
feminino,7
feminino,2
feminino,1
masculino,3
feminino,5
masculino,3
feminino,2
masculino,2
feminino,1
feminino,1
masculino,1
feminino,1
feminino,2
feminino,1
feminino,7
masculino,3
masculino,3
masculino,1
feminino,1
masculino,1
masculino,5
masculino,2
masculino,1
feminino,1
feminino,1
feminino,4
feminino,1
masculino,1
feminino,3
feminino,1
masculino,2
feminino,2
feminino,1
feminino,1
masculino,6
feminino,1
masculino,2
masculino,1
masculino,1
feminino,5
masculino,1
feminino,2
masculino,1
feminino,1
feminino,5
masculino,1
masculino,7
feminino,1
feminino,2
feminino,21
feminino,1
feminino,2
feminino,1
feminino,8
feminino,1
feminino,1
feminino,6
feminino,1
feminino,3
feminino,1
feminino,3
feminino,1
feminino,1
feminino,3
feminino,1
feminino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,6
masculino,4
masculino,7
masculino,2
masculino,1
masculino,1
masculino,2
masculino,1
masculino,1
masculino,1
masculino,1
masculino,3
feminino,1
masculino,2
feminino,11
masculino,2
masculino,1
feminino,5
masculino,1
masculino,9
masculino,1
masculino,2
feminino,4
masculino,1
feminino,3
masculino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,1
masculino,2
feminino,1
feminino,3
masculino,5
masculino,1
masculino,3
feminino,1
masculino,1
masculino,1
feminino,1
feminino,2
masculino,11
feminino,1
masculino,1
feminino,10
feminino,1
masculino,1
feminino,27
feminino,1
masculino,7
feminino,1
feminino,2
masculino,35
feminino,1
feminino,1
feminino,2
masculino,2
masculino,5
feminino,3
masculino,1
feminino,2
feminino,1
feminino,4
feminino,1
feminino,1
feminino,1
feminino,1
masculino,2
masculino,1
feminino,6
masculino,11
masculino,1
masculino,2
masculino,1
feminino,1
feminino,2
masculino,3
masculino,1
feminino,1
feminino,1
feminino,1
feminino,2
feminino,1
feminino,1
feminino,1
masculino,1
masculino,1
feminino,5
feminino,1
feminino,1
feminino,2
feminino,1
masculino,1
feminino,2
feminino,1
masculino,2
feminino,2
feminino,1
masculino,1
feminino,1
masculino,2
feminino,2
feminino,2
masculino,1
feminino,5
masculino,2
masculino,2
masculino,1
feminino,3
masculino,1
masculino,4
feminino,1
feminino,3
feminino,1
masculino,5
masculino,2
feminino,1
feminino,1
masculino,1
feminino,2
masculino,2
feminino,2
masculino,1
feminino,8
masculino,2
masculino,11
feminino,4
feminino,1
masculino,1
feminino,1
masculino,3
masculino,1
feminino,3
feminino,1
feminino,1
masculino,9
masculino,5
masculino,2
feminino,1
masculino,1
feminino,1
feminino,1
feminino,7
feminino,1
feminino,8
feminino,6
feminino,2
feminino,3
masculino,2
feminino,6
feminino,3
masculino,7
feminino,1
feminino,1
feminino,2
feminino,5
feminino,2
feminino,1
feminino,2
feminino,1
feminino,1
feminino,2
masculino,1
feminino,3
masculino,1
feminino,3
masculino,1
masculino,2
masculino,3
masculino,4
masculino,2
masculino,1
masculino,2
masculino,1
masculino,1
feminino,2
masculino,1
feminino,1
feminino,3
masculino,1
feminino,1
feminino,4
feminino,1
masculino,3
masculino,1
masculino,1
feminino,1
feminino,1
feminino,1
masculino,1
feminino,2
feminino,1
feminino,1
masculino,1
masculino,2
feminino,5
masculino,1
masculino,2
feminino,1
masculino,1
masculino,1
masculino,2
feminino,1
feminino,1
masculino,12
feminino,1
masculino,1
feminino,1
feminino,1
feminino,1
masculino,3
feminino,1
masculino,1
feminino,3
feminino,10
feminino,1
feminino,3
masculino,1
masculino,1
masculino,13
masculino,1
masculino,1
feminino,1
masculino,1
masculino,1
masculino,3
masculino,1
masculino,1
masculino,1
feminino,2
masculino,1
feminino,1
masculino,1
masculino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,4
feminino,1
feminino,1
masculino,3
feminino,26
masculino,2
feminino,1
feminino,1
feminino,1
feminino,1
masculino,3
masculino,2
feminino,2
masculino,1
masculino,1
feminino,1
masculino,3
feminino,2
feminino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,55
masculino,1
feminino,1
masculino,3
feminino,1
masculino,1
masculino,1
feminino,1
masculino,1
feminino,3
masculino,1
feminino,1
feminino,5
masculino,2
feminino,12
feminino,1
feminino,6
masculino,10
masculino,2
masculino,2
masculino,3
feminino,4
masculino,1
masculino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,15
feminino,12
feminino,7
feminino,11
feminino,13
feminino,2
feminino,2
feminino,3
feminino,1
feminino,4
masculino,1
masculino,1
feminino,1
masculino,1
masculino,1
masculino,4
feminino,2
masculino,2
masculino,1
masculino,1
masculino,3
masculino,9
masculino,18
masculino,1
masculino,1
feminino,2
masculino,3
feminino,1
feminino,2
feminino,1
masculino,1
feminino,1
masculino,2
feminino,11
feminino,2
feminino,1
masculino,1
feminino,2
masculino,1
masculino,1
feminino,1
feminino,2
masculino,1
masculino,1
feminino,1
feminino,2
feminino,2
masculino,1
masculino,1
feminino,1
masculino,1
feminino,1
feminino,1
feminino,14
