genero,eleitores
masculino,2
feminino,7
feminino,1
masculino,2
feminino,1
feminino,18
feminino,3
masculino,1
feminino,1
masculino,1
masculino,4
masculino,5
feminino,1
feminino,2
masculino,1
feminino,1
feminino,2
feminino,3
masculino,5
feminino,1
masculino,4
masculino,2
feminino,1
feminino,1
feminino,3
masculino,10
masculino,2
feminino,1
masculino,1
feminino,6
feminino,2
feminino,1
masculino,1
masculino,1
feminino,2
masculino,1
masculino,6
feminino,2
feminino,1
masculino,1
masculino,1
masculino,1
masculino,2
feminino,1
feminino,1
feminino,1
feminino,1
masculino,1
masculino,1
masculino,1
masculino,1
masculino,2
feminino,1
masculino,1
feminino,1
masculino,1
feminino,2
feminino,6
masculino,3
feminino,2
feminino,3
masculino,1
feminino,2
feminino,7
feminino,3
feminino,1
feminino,2
feminino,1
feminino,3
feminino,2
masculino,1
masculino,2
masculino,3
feminino,3
masculino,1
masculino,2
masculino,1
masculino,1
feminino,4
masculino,1
masculino,6
feminino,3
feminino,1
feminino,7
masculino,3
masculino,3
feminino,5
feminino,2
feminino,11
feminino,2
feminino,1
feminino,2
masculino,1
feminino,2
feminino,1
masculino,2
feminino,3
masculino,1
masculino,6
masculino,1
feminino,5
feminino,1
masculino,1
feminino,2
masculino,5
feminino,2
masculino,3
masculino,1
feminino,1
masculino,1
masculino,1
feminino,2
masculino,1
feminino,5
masculino,3
masculino,1
feminino,1
feminino,1
feminino,2
masculino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,4
feminino,1
feminino,2
masculino,2
feminino,11
feminino,2
feminino,4
masculino,1
masculino,1
feminino,1
feminino,2
masculino,9
feminino,1
feminino,1
feminino,1
feminino,1
feminino,2
masculino,2
feminino,7
masculino,2
feminino,2
feminino,5
masculino,5
feminino,2
masculino,1
feminino,6
masculino,1
masculino,1
feminino,1
masculino,15
feminino,1
masculino,3
masculino,3
feminino,1
masculino,1
masculino,1
feminino,7
masculino,1
feminino,1
masculino,16
feminino,1
masculino,1
masculino,16
masculino,1
feminino,11
feminino,1
feminino,1
masculino,2
masculino,1
feminino,1
masculino,1
masculino,1
feminino,1
feminino,6
masculino,1
feminino,1
masculino,1
masculino,1
feminino,1
feminino,3
masculino,1
feminino,1
feminino,3
masculino,1
masculino,1
feminino,1
masculino,1
feminino,4
feminino,17
feminino,16
feminino,1
masculino,1
feminino,2
masculino,2
feminino,2
feminino,1
feminino,3
feminino,1
feminino,1
masculino,2
feminino,6
feminino,1
feminino,4
masculino,2
feminino,2
feminino,2
feminino,1
feminino,1
masculino,1
masculino,1
feminino,1
feminino,3
feminino,1
feminino,1
feminino,2
feminino,4
feminino,1
feminino,2
feminino,3
feminino,3
masculino,2
feminino,1
masculino,1
feminino,2
masculino,1
masculino,3
masculino,1
masculino,1
masculino,2
masculino,6
masculino,1
masculino,4
feminino,1
masculino,3
masculino,3
feminino,2
masculino,2
feminino,2
feminino,2
feminino,1
feminino,6
masculino,1
masculino,2
masculino,1
feminino,1
masculino,1
masculino,1
feminino,3
feminino,1
masculino,1
feminino,1
masculino,3
feminino,1
feminino,2
feminino,1
feminino,3
masculino,1
masculino,5
masculino,2
masculino,2
masculino,1
feminino,4
feminino,1
feminino,1
masculino,1
masculino,2
masculino,14
feminino,1
masculino,9
masculino,2
masculino,1
feminino,3
masculino,1
masculino,1
masculino,2
feminino,2
feminino,1
masculino,1
feminino,1
feminino,2
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,1
feminino,2
feminino,1
masculino,5
feminino,1
masculino,1
feminino,2
feminino,3
feminino,1
feminino,1
masculino,1
feminino,1
feminino,1
feminino,1
feminino,8
feminino,1
masculino,2
masculino,1
feminino,7
feminino,1
feminino,2
feminino,3
feminino,1
feminino,2
feminino,1
feminino,5
feminino,2
feminino,2
feminino,1
feminino,1
masculino,2
feminino,5
masculino,1
masculino,1
feminino,1
masculino,3
feminino,1
feminino,2
masculino,3
feminino,3
masculino,20
feminino,1
feminino,1
masculino,3
masculino,1
masculino,1
masculino,4
feminino,1
masculino,1
masculino,3
feminino,1
feminino,4
feminino,5
feminino,2
feminino,3
masculino,2
masculino,3
feminino,1
feminino,1
feminino,1
feminino,3
masculino,1
masculino,2
masculino,5
masculino,2
masculino,2
masculino,2
feminino,1
masculino,1
feminino,1
feminino,1
feminino,1
masculino,1
feminino,1
masculino,1
masculino,2
feminino,1
masculino,2
feminino,4
masculino,22
feminino,1
masculino,12
masculino,1
masculino,4
masculino,2
feminino,1
masculino,2
feminino,1
feminino,1
feminino,2
feminino,8
