turno,zona,numero_partido,resultado,votos,sigla_partido
1,9,12,nao eleito,4530,PDT
1,9,13,2º turno,38489,PT
1,9,14,nao eleito,70,PTB
1,9,15,nao eleito,5695,MDB
1,9,16,nao eleito,22,PSTU
1,9,21,nao eleito,70,PCB
1,9,22,2º turno,60831,PL
1,9,27,nao eleito,17,DC
1,9,30,nao eleito,1474,NOVO
1,9,44,nao eleito,285,UNIÃO
1,9,80,nao eleito,96,UP
