turno,zona,numero_partido,resultado,votos,sigla_partido
1,179,12,nao eleito,3849,PDT
1,179,13,2º turno,52183,PT
1,179,14,nao eleito,92,PTB
1,179,15,nao eleito,3406,MDB
1,179,16,nao eleito,27,PSTU
1,179,21,nao eleito,48,PCB
1,179,22,2º turno,42626,PL
1,179,27,nao eleito,15,DC
1,179,30,nao eleito,538,NOVO
1,179,44,nao eleito,396,UNIÃO
1,179,80,nao eleito,87,UP
