turno,zona,numero_partido,resultado,votos,sigla_partido
1,119,12,nao eleito,4795,PDT
1,119,13,2º turno,41332,PT
1,119,14,nao eleito,53,PTB
1,119,15,nao eleito,6945,MDB
1,119,16,nao eleito,27,PSTU
1,119,21,nao eleito,67,PCB
1,119,22,2º turno,55594,PL
1,119,27,nao eleito,16,DC
1,119,30,nao eleito,1629,NOVO
1,119,44,nao eleito,286,UNIÃO
1,119,80,nao eleito,69,UP
