instrucao,eleitores
ensino superior completo,2
ensino medio completo,1
ensino superior incompleto,3
analfabeto,1
ensino medio incompleto,5
ensino fundamental completo,2
ensino fundamental completo,2
ensino medio incompleto,1
ensino medio completo,4
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino medio incompleto,2
ensino superior incompleto,14
ensino superior completo,1
ensino medio incompleto,9
ensino superior completo,2
ensino fundamental incompleto,1
ensino superior completo,3
ensino fundamental completo,1
ensino fundamental incompleto,1
ensino superior incompleto,2
ensino superior incompleto,2
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio completo,1
ensino medio completo,2
ensino medio completo,1
ensino medio incompleto,1
ensino superior completo,1
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino fundamental incompleto,2
ensino superior incompleto,1
ensino medio completo,5
ensino fundamental incompleto,1
ensino superior completo,1
ensino medio incompleto,2
ensino superior incompleto,3
ensino medio completo,1
le e escreve,1
ensino superior incompleto,1
ensino superior completo,1
ensino superior completo,1
ensino medio completo,1
ensino superior completo,8
ensino superior completo,1
ensino medio incompleto,2
ensino medio completo,1
ensino superior completo,7
ensino fundamental incompleto,1
ensino fundamental incompleto,2
ensino fundamental incompleto,3
ensino superior incompleto,1
ensino medio completo,2
ensino fundamental completo,1
ensino superior completo,5
ensino superior completo,2
ensino medio incompleto,2
ensino superior completo,1
ensino superior incompleto,1
ensino superior incompleto,2
ensino medio completo,5
ensino medio completo,1
analfabeto,1
ensino superior completo,1
ensino superior incompleto,3
ensino fundamental completo,1
ensino fundamental incompleto,2
ensino fundamental incompleto,3
ensino superior completo,3
ensino medio incompleto,20
ensino fundamental completo,1
ensino medio completo,1
ensino superior incompleto,3
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino medio incompleto,4
ensino superior completo,1
ensino superior completo,1
ensino superior completo,3
ensino medio completo,1
ensino superior incompleto,4
ensino medio completo,5
ensino fundamental incompleto,2
ensino superior completo,3
ensino fundamental incompleto,2
ensino medio completo,3
ensino medio incompleto,1
ensino superior completo,1
ensino superior incompleto,1
ensino superior completo,3
ensino superior incompleto,1
ensino superior incompleto,2
ensino medio completo,5
ensino superior incompleto,2
ensino superior incompleto,2
ensino medio completo,2
ensino fundamental incompleto,1
ensino medio completo,1
analfabeto,1
ensino medio incompleto,1
ensino superior incompleto,1
analfabeto,1
ensino fundamental incompleto,1
ensino medio incompleto,1
ensino fundamental completo,2
ensino medio completo,1
ensino medio completo,2
ensino medio incompleto,4
ensino superior completo,22
ensino fundamental incompleto,1
ensino superior completo,12
ensino medio completo,1
ensino medio completo,4
ensino medio completo,2
le e escreve,1
ensino fundamental completo,2
ensino fundamental completo,1
ensino superior completo,1
ensino fundamental incompleto,2
ensino fundamental completo,8
ensino fundamental incompleto,1
ensino superior completo,4
ensino medio incompleto,1
ensino medio incompleto,1
ensino superior incompleto,1
ensino superior incompleto,1
ensino fundamental completo,2
ensino medio completo,1
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino medio completo,7
ensino superior completo,3
ensino superior completo,1
ensino medio completo,4
ensino superior completo,1
ensino superior completo,3
ensino medio incompleto,1
ensino medio completo,1
ensino medio incompleto,2
ensino medio completo,1
ensino superior incompleto,2
ensino superior incompleto,5
ensino superior completo,11
ensino superior completo,1
ensino medio incompleto,6
ensino medio completo,5
ensino fundamental incompleto,4
ensino medio completo,1
ensino fundamental incompleto,1
ensino medio completo,5
ensino superior completo,2
ensino superior completo,1
ensino superior completo,1
ensino medio completo,2
ensino superior completo,1
ensino fundamental incompleto,1
ensino superior completo,2
ensino fundamental incompleto,1
ensino superior completo,8
ensino fundamental incompleto,2
ensino fundamental incompleto,1
ensino superior completo,5
ensino superior completo,1
ensino superior completo,2
le e escreve,3
le e escreve,1
ensino superior incompleto,1
ensino medio incompleto,1
ensino medio incompleto,9
ensino medio completo,1
ensino superior completo,3
ensino superior completo,8
ensino medio completo,2
ensino superior completo,3
ensino medio completo,16
ensino medio completo,1
ensino superior incompleto,4
ensino medio completo,2
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior completo,2
ensino medio incompleto,1
ensino medio completo,2
ensino superior incompleto,1
ensino medio incompleto,3
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio completo,2
ensino medio incompleto,4
ensino medio incompleto,1
ensino medio incompleto,2
ensino superior completo,1
analfabeto,1
ensino superior completo,4
ensino fundamental incompleto,1
ensino medio incompleto,6
ensino medio completo,1
ensino medio completo,2
ensino fundamental incompleto,1
ensino medio completo,1
ensino medio completo,2
ensino superior incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino superior completo,2
ensino superior incompleto,1
ensino medio completo,4
ensino fundamental incompleto,1
ensino fundamental incompleto,2
ensino superior incompleto,1
ensino superior completo,1
ensino fundamental incompleto,3
ensino medio incompleto,1
ensino fundamental completo,1
ensino medio incompleto,1
ensino fundamental completo,2
ensino superior completo,1
ensino superior incompleto,2
ensino superior completo,1
ensino superior completo,1
ensino fundamental completo,1
ensino medio completo,2
ensino superior completo,8
ensino superior completo,1
ensino medio incompleto,4
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino medio completo,1
ensino medio completo,2
ensino superior completo,7
ensino superior completo,1
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino fundamental incompleto,1
ensino superior incompleto,2
ensino medio incompleto,1
ensino medio incompleto,2
ensino medio completo,2
ensino medio completo,5
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior completo,1
ensino superior completo,1
ensino medio completo,3
ensino fundamental completo,2
ensino fundamental completo,1
ensino superior incompleto,1
ensino superior completo,1
ensino superior completo,1
ensino medio completo,3
ensino fundamental incompleto,3
ensino fundamental completo,2
ensino superior completo,1
ensino medio completo,1
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior completo,2
ensino medio completo,1
ensino medio completo,1
ensino superior incompleto,1
ensino superior completo,6
ensino fundamental completo,1
ensino superior incompleto,1
ensino superior completo,11
ensino superior completo,1
ensino superior completo,1
ensino medio completo,5
ensino medio completo,1
ensino medio completo,15
ensino superior incompleto,3
ensino medio incompleto,1
ensino superior incompleto,1
ensino superior completo,2
ensino superior completo,7
ensino medio incompleto,1
ensino medio completo,9
ensino medio completo,4
ensino medio completo,2
ensino medio incompleto,3
ensino superior completo,5
ensino medio completo,2
ensino superior completo,1
ensino superior completo,5
ensino medio completo,1
ensino superior completo,2
ensino medio completo,1
ensino medio completo,1
ensino superior completo,7
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio incompleto,2
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino medio incompleto,6
ensino superior incompleto,3
ensino superior incompleto,1
ensino fundamental completo,1
ensino fundamental completo,1
ensino superior completo,1
ensino superior incompleto,3
ensino medio incompleto,1
ensino medio incompleto,1
ensino medio incompleto,2
ensino fundamental completo,1
ensino fundamental completo,2
ensino superior incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino superior completo,2
ensino medio incompleto,5
le e escreve,1
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,10
ensino fundamental completo,1
ensino superior completo,1
ensino superior incompleto,1
ensino superior completo,1
ensino superior completo,1
ensino superior incompleto,1
le e escreve,1
ensino medio completo,2
ensino medio incompleto,2
ensino superior completo,4
ensino superior completo,1
ensino superior incompleto,1
analfabeto,1
ensino medio incompleto,3
ensino medio completo,1
ensino fundamental completo,1
le e escreve,1
ensino superior incompleto,1
ensino superior incompleto,1
ensino medio incompleto,1
ensino superior completo,4
analfabeto,1
ensino fundamental completo,1
ensino medio completo,2
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior completo,1
ensino fundamental completo,3
ensino fundamental completo,1
ensino superior completo,11
le e escreve,1
ensino medio completo,1
ensino fundamental completo,1
ensino medio completo,1
ensino superior incompleto,1
ensino superior completo,1
ensino medio completo,2
ensino medio incompleto,1
ensino medio completo,1
ensino medio incompleto,1
le e escreve,1
le e escreve,1
ensino superior completo,7
ensino superior completo,1
ensino medio incompleto,5
ensino superior completo,4
ensino superior incompleto,5
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,1
ensino superior completo,2
ensino superior completo,4
ensino superior completo,1
le e escreve,1
ensino superior completo,2
ensino medio incompleto,1
ensino superior completo,1
ensino medio completo,1
ensino superior completo,1
ensino medio incompleto,1
ensino superior completo,1
ensino medio completo,2
ensino superior completo,2
ensino fundamental completo,2
ensino medio completo,3
ensino superior completo,4
ensino superior incompleto,1
analfabeto,1
le e escreve,1
ensino fundamental completo,1
ensino medio incompleto,1
ensino superior incompleto,1
ensino superior completo,1
ensino superior completo,6
ensino medio incompleto,1
ensino medio incompleto,1
le e escreve,1
analfabeto,1
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino superior incompleto,1
ensino superior completo,1
ensino fundamental completo,1
ensino superior completo,5
ensino medio incompleto,4
ensino fundamental incompleto,2
ensino superior completo,5
ensino medio completo,1
ensino medio incompleto,3
ensino superior incompleto,1
ensino superior completo,3
ensino superior completo,1
ensino superior completo,3
le e escreve,1
ensino fundamental incompleto,1
ensino medio incompleto,13
ensino superior completo,5
analfabeto,2
ensino medio completo,1
ensino fundamental incompleto,2
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino medio completo,1
ensino superior completo,3
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino fundamental completo,1
le e escreve,1
ensino fundamental incompleto,2
ensino superior completo,1
ensino superior incompleto,7
ensino medio completo,8
ensino superior completo,2
ensino superior completo,1
ensino medio completo,5
ensino superior completo,4
ensino fundamental incompleto,1
ensino medio completo,1
ensino superior completo,3
ensino medio completo,1
ensino superior completo,2
ensino medio completo,1
ensino fundamental completo,1
ensino medio incompleto,1
ensino superior completo,1
ensino medio completo,8
ensino fundamental incompleto,1
ensino medio completo,2
analfabeto,3
ensino medio incompleto,5
ensino superior completo,1
ensino fundamental completo,1
ensino medio incompleto,2
ensino fundamental incompleto,1
ensino superior completo,1
ensino superior completo,1
ensino superior incompleto,1
ensino superior incompleto,2
ensino fundamental incompleto,2
ensino superior incompleto,1
ensino superior incompleto,1
ensino medio completo,3
le e escreve,1
ensino superior completo,1
ensino medio completo,1
ensino superior completo,1
ensino superior completo,1
ensino superior completo,1
ensino superior completo,4
ensino fundamental completo,1
ensino superior incompleto,1
ensino medio completo,4
ensino superior completo,3
ensino fundamental incompleto,3
ensino medio incompleto,1
analfabeto,1
ensino fundamental incompleto,4
ensino medio completo,9
ensino medio completo,3
ensino medio incompleto,5
ensino superior completo,1
ensino medio completo,1
ensino superior incompleto,1
ensino superior completo,7
ensino superior completo,2
ensino fundamental incompleto,6
ensino fundamental completo,1
ensino medio incompleto,1
ensino medio completo,4
ensino fundamental incompleto,1
ensino medio completo,1
ensino medio completo,12
ensino medio completo,1
ensino superior completo,1
ensino medio completo,1
ensino superior completo,2
ensino superior completo,2
ensino fundamental incompleto,2
ensino medio incompleto,2
ensino medio incompleto,2
ensino superior incompleto,1
ensino superior incompleto,1
ensino superior incompleto,1
le e escreve,2
ensino medio incompleto,4
ensino superior completo,24
ensino superior completo,2
ensino superior completo,1
ensino fundamental incompleto,2
ensino fundamental incompleto,2
ensino fundamental completo,3
ensino superior completo,12
ensino superior completo,1
ensino superior completo,3
ensino superior completo,1
ensino superior incompleto,1
,1
ensino superior completo,3
ensino fundamental completo,4
ensino medio incompleto,1
ensino superior completo,1
ensino fundamental completo,1
ensino medio incompleto,2
ensino fundamental completo,1
ensino superior completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino medio completo,1
ensino fundamental completo,1
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino fundamental completo,1
ensino superior completo,1
ensino medio completo,1
le e escreve,1
ensino superior completo,7
ensino medio incompleto,1
ensino fundamental incompleto,2
ensino superior completo,2
ensino medio incompleto,4
ensino superior completo,1
ensino superior completo,2
ensino medio incompleto,5
ensino superior completo,3
ensino medio completo,1
ensino superior completo,1
ensino superior completo,1
ensino medio incompleto,1
ensino fundamental incompleto,1
ensino medio completo,2
le e escreve,1
ensino superior completo,5
ensino superior completo,1
ensino superior incompleto,1
ensino medio completo,1
ensino medio incompleto,1
ensino fundamental completo,2
ensino superior completo,3
ensino medio completo,1
ensino fundamental completo,1
ensino medio completo,2
ensino superior incompleto,2
ensino superior completo,1
le e escreve,2
ensino fundamental completo,1
ensino superior completo,3
ensino superior completo,4
ensino superior completo,2
ensino medio completo,1
ensino medio completo,1
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino medio incompleto,4
ensino superior incompleto,2
ensino superior incompleto,1
ensino fundamental incompleto,1
ensino medio incompleto,1
ensino medio incompleto,2
ensino medio completo,1
ensino medio completo,1
ensino fundamental incompleto,4
ensino superior incompleto,2
ensino medio completo,1
ensino medio incompleto,7
ensino fundamental completo,1
ensino medio completo,1
ensino superior completo,1
ensino medio incompleto,3
ensino medio incompleto,2
ensino medio incompleto,2
ensino medio completo,1
ensino superior incompleto,1
ensino medio incompleto,14
ensino fundamental incompleto,1
ensino medio completo,3
ensino medio completo,4
le e escreve,1
ensino fundamental completo,1
ensino medio completo,6
ensino superior completo,1
ensino medio completo,1
ensino fundamental completo,1
ensino superior completo,1
ensino fundamental incompleto,1
ensino medio incompleto,2
ensino superior completo,2
ensino superior incompleto,1
ensino superior incompleto,3
ensino fundamental completo,1
ensino superior completo,1
ensino superior completo,1
ensino fundamental completo,3
le e escreve,1
ensino fundamental completo,1
le e escreve,3
ensino medio completo,2
ensino medio completo,1
ensino fundamental incompleto,1
ensino superior completo,4
ensino superior incompleto,7
ensino medio completo,6
ensino fundamental incompleto,1
ensino medio completo,2
ensino fundamental incompleto,2
ensino medio incompleto,1
ensino medio incompleto,1
le e escreve,1
ensino superior completo,9
ensino superior completo,1
ensino superior completo,3
ensino medio completo,1
ensino superior completo,4
ensino superior incompleto,2
ensino fundamental completo,1
ensino superior completo,1
ensino superior incompleto,1
ensino medio incompleto,1
le e escreve,1
ensino medio incompleto,5
ensino fundamental incompleto,2
ensino medio completo,1
ensino fundamental incompleto,1
ensino fundamental completo,1
analfabeto,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino superior completo,4
ensino fundamental completo,1
ensino fundamental incompleto,1
le e escreve,1
ensino medio completo,3
ensino medio incompleto,1
ensino superior incompleto,3
ensino superior completo,2
ensino fundamental incompleto,1
ensino superior completo,4
ensino superior incompleto,1
ensino superior completo,1
ensino superior incompleto,3
ensino superior completo,2
ensino superior completo,6
ensino fundamental completo,1
ensino superior incompleto,1
ensino superior incompleto,2
ensino superior incompleto,2
ensino superior incompleto,1
ensino medio completo,1
ensino medio completo,6
ensino superior incompleto,1
ensino medio incompleto,2
ensino medio completo,1
ensino medio incompleto,1
ensino superior incompleto,6
ensino medio completo,1
le e escreve,1
ensino medio completo,1
ensino superior incompleto,1
ensino fundamental completo,1
ensino superior completo,2
ensino medio completo,2
ensino superior completo,1
ensino medio completo,1
ensino medio incompleto,3
ensino superior completo,1
ensino medio completo,1
ensino medio incompleto,1
ensino medio incompleto,5
le e escreve,1
ensino fundamental incompleto,1
ensino fundamental incompleto,2
ensino medio incompleto,4
ensino fundamental incompleto,4
ensino superior completo,1
ensino superior completo,5
ensino superior completo,5
ensino superior completo,3
ensino fundamental incompleto,1
ensino fundamental incompleto,1
ensino superior incompleto,1
ensino superior incompleto,2
ensino medio incompleto,6
le e escreve,1
ensino medio incompleto,4
ensino medio completo,1
ensino superior completo,7
ensino superior completo,17
ensino medio completo,1
ensino superior completo,2
ensino superior completo,2
ensino fundamental incompleto,1
ensino medio completo,5
ensino superior completo,1
ensino superior completo,1
ensino fundamental completo,2
ensino medio completo,1
le e escreve,1
ensino medio completo,2
le e escreve,3
ensino medio incompleto,3
ensino superior incompleto,2
ensino superior incompleto,1
ensino superior completo,3
ensino superior completo,1
ensino fundamental completo,3
ensino superior completo,11
ensino fundamental incompleto,1
ensino medio completo,1
ensino medio completo,1
ensino medio incompleto,2
ensino medio completo,1
ensino medio incompleto,2
ensino fundamental completo,1
ensino superior completo,2
ensino superior completo,2
ensino medio completo,2
ensino medio incompleto,1
ensino medio incompleto,2
ensino superior incompleto,1
ensino superior completo,3
ensino medio incompleto,1
ensino superior completo,3
ensino fundamental incompleto,6
ensino superior incompleto,4
ensino medio incompleto,7
ensino medio incompleto,4
